humidity,acceleration_z,data_format,acceleration_x,acceleration,battery,acceleration_y,temperature,pressure,time,device_mac
33.5,1036,3,11,1036.271200024395,3151,-21,22.26,1012.24,2019-09-26T07:20:07.263241,E4:49:12:58:E8:AF
33.5,1039,3,11,1039.231927915997,3139,-19,22.26,1012.25,2019-09-26T07:25:06.674580,E4:49:12:58:E8:AF
33.5,1037,3,12,1037.225626370656,3139,-18,22.26,1012.3,2019-09-26T07:30:07.079146,E4:49:12:58:E8:AF
33.5,1040,3,10,1040.2403568406678,3151,-20,22.27,1012.34,2019-09-26T07:35:06.416265,E4:49:12:58:E8:AF
33.5,1038,3,12,1038.2620093213466,3151,-20,22.27,1012.31,2019-09-26T07:40:07.027992,E4:49:12:58:E8:AF
33.5,1037,3,12,1037.243462259464,3145,-19,22.27,1012.3,2019-09-26T07:45:06.387741,E4:49:12:58:E8:AF
33.5,1037,3,6,1037.1407811864308,3151,-16,22.28,1012.32,2019-09-26T07:50:06.865457,E4:49:12:58:E8:AF
33.5,1037,3,14,1037.2685283956127,3151,-19,22.28,1012.36,2019-09-26T07:55:06.283255,E4:49:12:58:E8:AF
33.5,1034,3,11,1034.1822856730819,3163,-16,22.29,1012.34,2019-09-26T08:00:06.748596,E4:49:12:58:E8:AF
33.5,1037,3,12,1037.3027523341486,3145,-22,22.3,1012.32,2019-09-26T08:05:07.329538,E4:49:12:58:E8:AF
33.5,1039,3,9,1039.1780405686025,3151,-17,22.31,1012.38,2019-09-26T08:10:07.635812,E4:49:12:58:E8:AF
33.5,1040,3,11,1040.250450612736,3157,-20,22.33,1012.39,2019-09-26T08:15:07.172827,E4:49:12:58:E8:AF
33.5,1041,3,11,1041.213714853968,3151,-18,22.35,1012.43,2019-09-26T08:20:06.610748,E4:49:12:58:E8:AF
33.5,1040,3,14,1040.267753994134,3139,-19,22.37,1012.44,2019-09-26T08:25:07.090490,E4:49:12:58:E8:AF
33.5,1037,3,11,1037.2145390419478,3151,-18,22.4,1012.42,2019-09-26T08:30:06.559594,E4:49:12:58:E8:AF
33.5,1036,3,14,1036.2687875257075,3151,-19,22.43,1012.44,2019-09-26T08:35:07.019824,E4:49:12:58:E8:AF
33.5,1038,3,13,1038.1897707066853,3151,-15,22.46,1012.45,2019-09-26T08:40:06.359572,E4:49:12:58:E8:AF
33.5,1036,3,11,1036.1978575542414,3139,-17,22.49,1012.5,2019-09-26T08:45:07.834542,E4:49:12:58:E8:AF
33.5,1037,3,12,1037.225626370656,3157,-18,22.52,1012.54,2019-09-26T08:50:06.285174,E4:49:12:58:E8:AF
33.0,1036,3,11,1036.1819338320854,3157,-16,22.56,1012.53,2019-09-26T08:55:06.597383,E4:49:12:58:E8:AF
33.0,1032,3,14,1032.1899050077946,3139,-14,22.59,1012.52,2019-09-26T09:00:07.078408,E4:49:12:58:E8:AF
33.0,1032,3,11,1032.1986242967,3145,-17,22.62,1012.54,2019-09-26T09:05:06.570035,E4:49:12:58:E8:AF
33.0,1037,3,11,1037.166813969672,3151,-15,22.65,1012.52,2019-09-26T09:10:08.080632,E4:49:12:58:E8:AF
33.0,1033,3,10,1033.2052071103785,3157,-18,22.68,1012.51,2019-09-26T09:15:06.512470,E4:49:12:58:E8:AF
32.5,1033,3,11,1033.153425198794,3145,-14,22.71,1012.5,2019-09-26T09:20:08.968600,E4:49:12:58:E8:AF
32.5,1036,3,13,1036.2050955288726,3145,-16,22.75,1012.55,2019-09-26T09:25:06.468083,E4:49:12:58:E8:AF
32.5,1042,3,13,1042.219746502627,3151,-17,22.79,1012.53,2019-09-26T09:30:06.819837,E4:49:12:58:E8:AF
32.0,1036,3,9,1036.1476728729356,3157,-15,22.83,1012.53,2019-09-26T09:35:06.298978,E4:49:12:58:E8:AF
32.0,1036,3,9,1036.1785560413803,3151,-17,22.86,1012.58,2019-09-26T09:40:07.727558,E4:49:12:58:E8:AF
32.0,1029,3,10,1029.1073802086933,3151,-11,22.88,1012.66,2019-09-26T09:45:07.152574,E4:49:12:58:E8:AF
31.5,1036,3,12,1036.2089557613367,3151,-17,22.88,1012.68,2019-09-26T09:50:06.670468,E4:49:12:58:E8:AF
31.5,1036,3,13,1036.255759935741,3139,-19,22.9,1012.69,2019-09-26T09:55:09.250108,E4:49:12:58:E8:AF
31.5,1033,3,11,1033.1674598050406,3145,-15,22.91,1012.69,2019-09-26T10:00:07.658132,E4:49:12:58:E8:AF
31.0,1040,3,14,1040.1884444657132,3151,-14,22.93,1012.69,2019-09-26T10:05:07.086393,E4:49:12:58:E8:AF
31.0,1038,3,11,1038.1815833465744,3145,-16,22.96,1012.63,2019-09-26T10:10:06.584668,E4:49:12:58:E8:AF
30.5,1038,3,12,1038.2620093213466,3157,-20,22.99,1012.64,2019-09-26T10:15:07.037366,E4:49:12:58:E8:AF
30.5,1036,3,15,1036.2031654072478,3145,-14,23.04,1012.68,2019-09-26T10:20:07.396346,E4:49:12:58:E8:AF
30.5,1032,3,8,1032.1550271155977,3145,-16,23.09,1012.65,2019-09-26T10:25:06.879001,E4:49:12:58:E8:AF
30.0,1035,3,9,1035.2135045486993,3139,-19,23.14,1012.68,2019-09-26T10:30:06.186016,E4:49:12:58:E8:AF
30.0,1035,3,11,1035.140087137968,3139,-13,23.19,1012.61,2019-09-26T10:35:07.658628,E4:49:12:58:E8:AF
30.0,1034,3,12,1034.178417875755,3151,-15,23.24,1012.6,2019-09-26T10:40:07.072801,E4:49:12:58:E8:AF
29.5,1036,3,9,1036.1206493454322,3151,-13,23.27,1012.6,2019-09-26T10:45:06.528963,E4:49:12:58:E8:AF
29.5,1037,3,15,1037.2825073238246,3151,-19,23.3,1012.65,2019-09-26T10:50:07.991132,E4:49:12:58:E8:AF
