acceleration_y,data_format,pressure,acceleration_z,battery,temperature,acceleration,acceleration_x,humidity,time,device_mac
-72,3,992.24,995,3067,21.49,1038.897973816486,290,50.0,2019-10-12T18:25:06.886711,E4:49:12:58:E8:AF
-77,3,992.28,987,3061,21.48,1031.8812916222487,291,50.0,2019-10-12T18:30:06.295882,E4:49:12:58:E8:AF
-76,3,992.32,992,3073,21.47,1036.3107642015498,290,50.0,2019-10-12T18:35:06.831035,E4:49:12:58:E8:AF
-77,3,992.36,995,3061,21.47,1039.2564649786884,290,50.0,2019-10-12T18:40:07.344918,E4:49:12:58:E8:AF
-79,3,992.4,994,3073,21.46,1037.0641253075917,285,50.0,2019-10-12T18:45:06.769819,E4:49:12:58:E8:AF
-74,3,992.44,991,3073,21.45,1035.208674615896,290,50.0,2019-10-12T18:50:07.227869,E4:49:12:58:E8:AF
-77,3,992.46,991,3067,21.44,1034.8690738446096,288,50.0,2019-10-12T18:55:06.708003,E4:49:12:58:E8:AF
-75,3,992.53,990,3073,21.44,1034.8859840581474,292,50.5,2019-10-12T19:00:07.177784,E4:49:12:58:E8:AF
-78,3,992.55,993,3061,21.43,1037.696487418166,291,50.0,2019-10-12T19:05:06.748200,E4:49:12:58:E8:AF
-77,3,992.56,992,3061,21.43,1036.6648445857513,291,50.0,2019-10-12T19:10:07.363549,E4:49:12:58:E8:AF
-78,3,992.57,991,3067,21.42,1036.6296349227143,294,50.5,2019-10-12T19:15:06.848839,E4:49:12:58:E8:AF
-76,3,992.6,991,3073,21.42,1034.795148809657,288,50.5,2019-10-12T19:20:06.312316,E4:49:12:58:E8:AF
-75,3,992.67,989,3067,21.42,1033.3663435587594,290,50.5,2019-10-12T19:25:06.679302,E4:49:12:58:E8:AF
-77,3,992.67,990,3073,21.42,1034.190504694372,289,50.5,2019-10-12T19:30:07.119600,E4:49:12:58:E8:AF
-78,3,992.72,990,3061,21.42,1034.8260723425942,291,50.5,2019-10-12T19:35:06.484089,E4:49:12:58:E8:AF
